id,name,resource_type,identifier,publication_date,source,status,accessibility,country_of_study,keywords,created_time,author_team_size,source_display_name,source_id
rec7YgUtN55pBDm45,40e0275f97fa665b4e46ac678bf2b8de,"""journal article""",32369b70a735d9b370907cbc39f25aac,2015-01-01,OpenAlex,published,NA,"""Bolivia""","""""",2023-06-20T22:35:56Z,49,f1a7b4aa3da72f30a828c5dd7216865d,055c6d0210786bb101ad426f590d4ea4
rec7ZMUslmLtuq4AU,80335bf6eb3f071aa2830870eb0ff541,"""journal article""",d8dd18d7acdf1812571a8fa6234998f8,2011-01-01,OpenAlex,published,open access,"""Malaysia""","""""",2023-06-20T22:35:50Z,5,4f14ace3b4e001cf4f133142b81c618f,999a1f22c227c5885244eb93226e05e6
rec7bqQOX9QkrFnm3,cfd3984de146e40569af7b4f0c2be0be,"""journal article""",516c1022f2d8e9b0251b6b4d23448022,2013-01-01,OpenAlex,published,open access,"""United States""","""""",2023-07-31T00:19:06Z,3,90f04e51665b16315a09553972f1e268,1f3473303abe4d4222e6267248a64094
rec7pugC2HlEeNpBw,b74f494f09d0264f963760b45ef1d5a8,"""journal article""",15ed044f34fff870d160376bb238158d,2021-01-01,OpenAlex,published,open access,"""Bangladesh""","""""",2023-06-20T22:36:01Z,16,b963ffeecd8f04358a969599385f969d,1e8f6e37ee92e2fa60beb815df743809
rec7qJbYJ4lMksNFJ,56c1e7495e2136c36cd946c7d7c92936,"""journal article""",3d4d53f8354208aaea6f265477a13a48,2012-01-01,OpenAlex,published,NA,"""Norway""","""""",2023-06-20T22:35:10Z,4,dfd252e2c35218efa4915483ac22403e,28daba56f39720a7d1f2bb75a5af00ee
rec7sYEvSQret3AUT,a16fd94c5f4141c78f31305054000eca,"""journal article""",84ffc51932c9a29f675f88a1938bd720,2019-01-01,OpenAlex,published,NA,"""Argentina""","""""",2023-06-20T22:35:53Z,5,6689ad6ab2194e4cb8e2358def8e1702,a557918668ee6e3200e5e4dd4c791893
rec7xVsR5m4Ybzlp8,866432d449d07da8626439ff09882292,"""journal article""",63aaf075ed2f0babee7063d38c3205c4,2016-01-01,OpenAlex,published,NA,"""Non-specific""","""""",2023-06-20T22:34:48Z,5,fa270a5afce4335d24d7f68f016546d0,cafb1eeeca1d5e568e041964db90494a
rec80vFcQfaASOv1T,e1269460e9c46d91640afd369a217aa5,"""journal article""",df1c67b7d3534945b35560a607172ab5,2020-01-01,OpenAlex,published,open access,"""Republic of the Congo""","""""",2023-06-20T22:36:57Z,10,a26f2f5f81898a40749ef488daadcf8c,04f6f51f1e6b6d7154618a2808f47c1d
rec8BmPjkxYfUpIIS,1c8200d3fad41a34cd93260498930bd7,"""journal article""",72bfd422beb7a9bfa31204a257e7cb4f,2022-01-01,OpenAlex,published,open access,"""Non-specific""","""""",2023-06-20T22:34:21Z,9,3c954a36744c73ffb1892dd099970e9b,0970e57f58f1c542da32bb77ad501db7
rec8Mr3kFIX6fnXZV,3b9f96b26b3e07fc2f767546b6600624,"""journal article""",4a2167770ea879d1209db4296f10f4b0,2021-01-01,OpenAlex,published,open access,"""Non-specific""","""""",2023-06-20T22:34:58Z,11,9a74a40d1f41d6b72f506b3e13b49719,9cd977bb59ce849f4621dd831d39c3b6
rec8PoiFc4tNk6dre,1975b14b470f8c01350fd3a22d2fdc16,"""journal article""",3bdadbfc2ea469dc9781a93628ba7e35,2021-01-01,OpenAlex,published,open access,"""Bangladesh""","""""",2023-06-20T22:37:29Z,7,b92c376e29d7d4bc84843b72e83542ce,1281ee29588a22cbe23965566fbc2c26
rec8VnryeTr5p9ef2,305daeccfb64e39b31ba47a2a851bde1,"""journal article""",1d7ee98c10b8564d98f3c2f2555f5b52,2013-01-01,OpenAlex,published,open access,"""Non-specific""","""""",2023-06-20T22:34:59Z,7,0bfcd368c81e8e379a9436bc9504ee89,a2229ddf215bf186ebce40c0cfe28de0
rec8aQeCtspCEZyG4,68ce26da702f8c2352cef902fa8b04ac,"""journal article""",e2a8d34acfc337d32145ec9b9aeb8da6,2021-01-01,OpenAlex,published,NA,"""Philippines""","""""",2023-06-20T22:37:29Z,2,09665817d341aa5dfba5faed887dd47b,7306e088c4f48550c46917755c48b907
rec8gEWMCEO0y7ZMI,efe05a9718c5431edc2bc7415135b126,"""journal article""",97ca97cf08ae5ab2174436539da4904f,2022-01-01,OpenAlex,published,open access,"""Bangladesh""","""AMR""",2023-06-20T22:35:54Z,13,46d0c0568b79b5a0b10b3f46dcb391f3,d649ea7303869279dee53e4100b65747
rec8kD1AY8NTNK3mj,f37eb1fa262e4db73df0b64290733ce6,"""journal article""",9a64a5ca55ce77e5a9e6a4ffa6680bef,2016-01-01,OpenAlex,published,NA,"""Bangladesh""","""""",2023-06-20T22:36:04Z,9,90f04e51665b16315a09553972f1e268,1f3473303abe4d4222e6267248a64094
rec8vjz9zGLzD4Tlu,8a0f3ce79d07b883aa9b606e85a50e91,"""journal article""",a79431f5ba6277768b1b437a0a36c73c,2015-01-01,OpenAlex,published,NA,"""Non-specific""","""""",2023-06-20T22:36:40Z,4,58b3f15e5229e16c4285cffc5cc632c1,1670034d18e6fd477aef748887b34d57
rec8ycpgGJsuIpyHn,7ebc211fca9f217e78752267ac951800,"""journal article""",a38a37e4e43e103a79e6517d3103b9f3,2020-01-01,OpenAlex,published,open access,"""China""","""""",2023-06-20T22:36:48Z,6,64935d7606ee3be25896c57e1a08f305,bb34d5a463bc0cd5873894c1f2d42417
rec8zqx1qBG74W2C9,eaebd6335e13430aa5e8260472bf6d08,"""journal article""",d90dcc64a95f5562950033b6634c6de8,2013-01-01,OpenAlex,published,open access,"""Australia""","""""",2023-06-20T22:35:00Z,16,4f14ace3b4e001cf4f133142b81c618f,999a1f22c227c5885244eb93226e05e6
rec94MxYZ5KWjrLin,ad085e773498e396f29345103a14f827,"""journal article""",789784eef9f9427fbe9a6d9ccf9ccf0e,2018-01-01,OpenAlex,published,open access,"""Democratic Republic of the Congo""","""""",2023-06-20T22:35:33Z,11,c7ce65dafd8cab64f215b9255b92ea00,062ff87ed9023afef4c10741cbad29de
rec95dD5QqPOYz4eM,cd439b5aa753403120f4c16ca9a03782,"""journal article""",a05611cbf8590b3fb405ac1e580bcfab,2016-01-01,OpenAlex,published,NA,"""Bangladesh""","""""",2023-06-20T22:35:01Z,10,90f04e51665b16315a09553972f1e268,1f3473303abe4d4222e6267248a64094
rec96eRrLOYu5p4Xg,766fe7739e5aafe80b33f06a906b6b9a,"""journal article""",b120a395b143aa258ffb817ba0224a37,2018-01-01,OpenAlex,published,open access,"""China""","""""",2023-06-20T22:36:11Z,12,4f14ace3b4e001cf4f133142b81c618f,999a1f22c227c5885244eb93226e05e6
rec9H3PEI5sQakKQn,7319faca54c8591627153246dc4aecd0,"""journal article""",2c2ac79f31caf90ed8f31a24fbc1cdb9,2017-01-01,OpenAlex,published,NA,"""Non-specific""","""""",2023-06-20T22:35:06Z,18,2df0839c1be63aa1537a5ab45bd0b5a1,8ed574bbeed193c31c461cf2377cb66c
