id,authorship_id,institution_id,authorship_position,authorship_position_number,name,publication,contributor_id,publication_link,resource_type_from_publication,institution_country_code_from_institution_id,publication_date_from_research_outputs,within_analysis_timeframe_from_publication,cleaned_name,created_time
recqas4nbrE0Vkh2e,1876,597d078e71bf39a72ac3e4e5ff7c00f6,middle,9,6b0fc3a9ba62f3383073e2f32c022d16,d0882f5f0da6644dd14ec52db26a3ed4,1082,aebcea51db014c636ccdc9060d0b203d,"""journal article""",US,2023-01-01,0,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:24Z
recqbRdAtQvJ6k99s,7424,6e15aa620eaa1e64614916b9c864c681,middle,11,ad8a67a0c16e68abf675fb6682403f15,a8366ef017994c365a37020c6b9d19bb,3960,c046cc135218e1241c65c0e9c508f63d,"""preprint""",ET,2020-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-07-17T18:42:53Z
recqbwSO61WR1gTJu,2043,2688a6ef7ca332c762c9d1658f7bf6ac,last,6,e917f62dff59c4876a5fe698477fa240,bb169e1a671b985e806ad67ff3660b3f,1170,5358c2254f3a4bd81b128bc0204c936b,"""journal article""",US,2014-01-01,1,e917f62dff59c4876a5fe698477fa240,2023-06-22T18:07:24Z
recqc67cJFrB0981u,4618,7945e7ea39e9dbca8e3479b48f0b180a,middle,14,37a3e05f720c37ac5423f00600805885,7319faca54c8591627153246dc4aecd0,2579,2c2ac79f31caf90ed8f31a24fbc1cdb9,"""journal article""",ZA,2017-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:29Z
recqc9YuTm3Do3qCL,1255,797daf1d262b7255268bdbd377eee41d,middle,11,07098bd3c18f41ee2a9a4e5ff6cdc89d,636baf93bd76764ebe27a820cfb886d2,718,9c1bf2be32af29db4c6d469d4722b596,"""journal article""",US,2023-01-01,0,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:24Z
recqcIqgzgSR24L2B,2290,243f29f2d30dc4ac848ce17807999953,middle,2,4ecefbb56587385cf5472c55c70655b8,1a5eeac6b1875dd6a04ce229bb63de4d,1331,a50f4f9f6bd9970d39a5d4f5f21ed637,"""journal article""",CN,2014-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:24Z
recqdQBH93l5IpKOz,3962,677e0d2680813570f8b4e3e4af1b8b8c,middle,6,e9a492c1c0f6fc15c70516fd5f2a548c,4109fc3b12763b904b5c051798ca6059,2207,be4bbebf5ba2d86d3b2043b0ab847947,"""journal article""",US,2008-01-01,0,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:29Z
recqdYdeLYfVStPOf,3246,1181f3a16133420d571d47f06fb26947,middle,6,4c6106a64f11f8bf7e7320fd63c9030f,7e2683a6f6064a2c9dfc561de878dd90,1793,6b633f3fe0e7de6627af7b43e6d7d8bd,"""journal article""",AU,2022-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:29Z
recqdaC7OIxtkoseT,4635,82b547c7c0239092f2d62c64b598e427,middle,10,408ffb518f3b5058890f63b885a3da6d,a24b8c4c94ce7e7837111eb82cb4d653,2591,70f8c4be199873cceec431590611c096,"""journal article""",US,2013-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:29Z
recqdeMhULgJTbcLc,1731,8255e9209dcccac002b17581f0707565,middle,8,f6bb4a7fd6bc3a4635fe41b35e89c527,e1269460e9c46d91640afd369a217aa5,4111,df1c67b7d3534945b35560a607172ab5,"""journal article""",US,2020-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:24Z
